id,number,nationwide_number,name,sex,year_of_birth,nationality,military_civilian,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,hours_mission,total_hrs_sum
678,291,183,"Ochoa, Ellen",female,1958,U.S.,civilian,1990,2,4,MSP,1994,STS-66,263.0,978.0
679,291,183,"Ochoa, Ellen",female,1958,U.S.,civilian,1990,3,4,MSP,1999,STS-96,235.0,978.0
680,291,183,"Ochoa, Ellen",female,1958,U.S.,civilian,1990,4,4,MSP,2002,STS-110,260.0,978.0
681,292,184,"Precourt, Charles J., Jr.",male,1955,U.S.,military,1990,1,4,MSP,1993,STS-55,240.0,932.0
682,292,184,"Precourt, Charles J., Jr.",male,1955,U.S.,military,1990,2,4,pilot,1995,STS-71,235.0,932.0
683,292,184,"Precourt, Charles J., Jr.",male,1955,U.S.,military,1990,3,4,commander,1997,STS-84,221.0,932.0
684,292,184,"Precourt, Charles J., Jr.",male,1955,U.S.,military,1990,4,4,commander,1998,STS-91,235.0,932.0
685,293,185,"Harris, Bernard A., Jr.",male,1956,U.S.,civilian,1990,1,2,MSP,1993,STS-55,239.0,437.0
686,293,185,"Harris, Bernard A., Jr.",male,1956,U.S.,civilian,1990,2,2,MSP,1995,STS-63,198.0,437.0
687,294,5,"Walter, Ulrich",male,1954,Germany,civilian,1987,1,1,PSP,1993,STS-55,239.67,239.67
688,295,6,"Schlegel, Hans",male,1951,Germany,civilian,1987,1,2,PSP,1993,STS-55,240.0,546.0
689,295,6,"Schlegel, Hans",male,1951,Germany,civilian,1987,2,2,MSP,2008,STS-122,306.0,546.0
690,296,186,"Currie, Nancy J.",female,1958,U.S.,military,1990,1,4,MSP,1993,STS-57,240.0,999.0
691,296,186,"Currie, Nancy J.",female,1958,U.S.,military,1990,2,4,MSP,1995,STS-70,214.0,999.0
692,296,186,"Currie, Nancy J.",female,1958,U.S.,military,1990,3,4,MSP,1998,STS-88,283.0,999.0
693,296,186,"Currie, Nancy J.",female,1958,U.S.,military,1990,4,4,MSP,2002,STS-109,262.0,999.0
694,297,187,"Wisoff, Peter J. K.",male,1958,U.S.,civilian,1990,1,4,MSP,1993,STS-57,239.0,1064.15
695,297,187,"Wisoff, Peter J. K.",male,1958,U.S.,civilian,1990,2,4,MSP,1994,STS-68,269.0,1064.15
696,297,187,"Wisoff, Peter J. K.",male,1958,U.S.,civilian,1990,3,4,MSP,1997,STS-81,240.0,1064.15
697,297,187,"Wisoff, Peter J. K.",male,1958,U.S.,civilian,1990,4,4,MSP,2000,STS-92,309.0,1064.15
698,298,188,"Voss, Janice E.",female,1956,U.S.,civilian,1990,1,5,MSP,1993,STS-57,239.73,1199.81
699,298,188,"Voss, Janice E.",female,1956,U.S.,civilian,1990,2,5,MSP,1995,STS-63,198.47,1199.81
700,298,188,"Voss, Janice E.",female,1956,U.S.,civilian,1990,3,5,MSP,1997,STS-83,95.21,1199.81
701,298,188,"Voss, Janice E.",female,1956,U.S.,civilian,1990,4,5,MSP,1997,STS-94,396.8,1199.81
702,298,188,"Voss, Janice E.",female,1956,U.S.,civilian,1990,5,5,MSP,2000,STS-99,269.6,1199.81
703,299,76,"Tsibliyev, Vasili",male,1954,U.S.S.R/Russia,military,1987,1,2,commander,1993,14,4721.0,9159.87
704,299,76,"Tsibliyev, Vasili",male,1954,U.S.S.R/Russia,military,1987,2,2,commander,1997,23,4438.0,9159.87
705,300,4,"Haigneré, Jean-Pierre",male,1948,France,military,1985,1,2,MSP,1993,Soyuz TM-17 / Soyuz TM-16,496.0,5028.0
706,300,4,"Haigneré, Jean-Pierre",male,1948,France,military,1985,2,2,flight engineer,1999,27,4532.0,5028.0
707,301,189,"Newman, James H.",male,1956,U.S.,civilian,1990,1,4,MSP,1993,STS-51,236.0,1032.0
708,301,189,"Newman, James H.",male,1956,U.S.,civilian,1990,2,4,MSP,1995,STS-69,260.0,1032.0
709,301,189,"Newman, James H.",male,1956,U.S.,civilian,1990,3,4,MSP,1998,STS-88,283.0,1032.0
710,301,189,"Newman, James H.",male,1956,U.S.,civilian,1990,4,4,MSP,2002,STS-109,262.0,1032.0
711,302,190,"Bursch, Daniel W.",male,1957,U.S.,military,1990,1,4,MSP,1993,STS-51,236.0,5448.0
712,302,190,"Bursch, Daniel W.",male,1957,U.S.,military,1990,2,4,MSP,1994,STS-68,169.0,5448.0
713,302,190,"Bursch, Daniel W.",male,1957,U.S.,military,1990,3,4,MSP,1996,STS-77,241.0,5448.0
714,302,190,"Bursch, Daniel W.",male,1957,U.S.,military,1990,4,4,flight engineer,2001,4,4802.0,5448.0
715,303,191,"Walz, Carl E.",male,1955,U.S.,military,1990,1,4,MSP,1993,STS-51,236.18,5533.06
716,303,191,"Walz, Carl E.",male,1955,U.S.,military,1990,2,4,MSP,1994,STS-65,360.0,5533.06
717,303,191,"Walz, Carl E.",male,1955,U.S.,military,1990,3,4,MSP,1996,STS-79,243.0,5533.06
718,303,191,"Walz, Carl E.",male,1955,U.S.,military,1990,4,4,MSP,2001,4,4704.0,5533.06
719,304,192,"Searfoss, Richard A.",male,1956,U.S.,military,1990,1,3,pilot,1993,STS-58,338.0,938.0
720,304,192,"Searfoss, Richard A.",male,1956,U.S.,military,1990,2,3,pilot,1996,STS-76,216.0,938.0
721,304,192,"Searfoss, Richard A.",male,1956,U.S.,military,1990,3,3,commander,1998,STS-90,384.0,938.0
722,305,193,"McArthur, William S., Jr.",male,1951,U.S.,military,1990,1,4,MSP,1993,STS-58,336.0,5396.0
723,305,193,"McArthur, William S., Jr.",male,1951,U.S.,military,1990,2,4,MSP,1995,STS-74,196.0,5396.0
724,305,193,"McArthur, William S., Jr.",male,1951,U.S.,military,1990,3,4,MSP,2000,STS-92,309.0,5396.0
725,305,193,"McArthur, William S., Jr.",male,1951,U.S.,military,1990,4,4,flight engineer,2006,12,4555.0,5396.0
726,306,194,"Wolf, David A.",male,1956,U.S.,civilian,1990,1,4,MSP,1993,STS-58,336.0,4040.95
727,306,194,"Wolf, David A.",male,1956,U.S.,civilian,1990,2,4,MSP,1997,24,3072.0,4040.95
728,306,194,"Wolf, David A.",male,1956,U.S.,civilian,1990,3,4,MSP,2002,STS-112,259.0,4040.95
729,306,194,"Wolf, David A.",male,1956,U.S.,civilian,1990,4,4,MSP,2009,STS-127,376.0,4040.95
730,307,195,"Fettman, Martin Joseph",male,1956,U.S.,civilian,1992,1,1,PSP,1993,STS-58,336.47,336.47
731,308,77,Yuri Vladimirovich Usachyov,male,1957,U.S.S.R/Russia,military,1989,1,4,flight engineer,1994,Mir EO-15,4368.45,13270.42
732,308,77,Yuri Vladimirovich Usachyov,male,1957,U.S.S.R/Russia,military,1989,2,4,flight engineer,1996,Mir EO-21,4651.12,13270.42
733,308,77,Yuri Vladimirovich Usachyov,male,1957,U.S.S.R/Russia,military,1989,3,4,MSP,2000,STS 101,236.17,13270.42
734,308,77,Yuri Vladimirovich Usachyov,male,1957,U.S.S.R/Russia,military,1989,4,4,commander,2001,2,4014.68,13270.42
735,309,196,"Sega, Ronald M.",male,1952,U.S.,civilian,1990,1,2,MSP,1994,STS-60,199.0,420.0
736,309,196,"Sega, Ronald M.",male,1952,U.S.,civilian,1990,2,2,MSP,1996,STS-76,221.0,420.0
737,310,197,"Jones, Thomas D.",male,1955,U.S.,civilian,1990,1,4,MSP,1994,STS-59,269.0,1272.82
738,310,197,"Jones, Thomas D.",male,1955,U.S.,civilian,1990,2,4,MSP,1994,STS-68,269.0,1272.82
739,310,197,"Jones, Thomas D.",male,1955,U.S.,civilian,1990,3,4,MSP,1996,STS-80,423.0,1272.82
740,310,197,"Jones, Thomas D.",male,1955,U.S.,civilian,1990,4,4,MSP,2001,STS-98,309.0,1272.82
741,311,78,"Malenchenko, Yuri",male,1961,U.S.S.R/Russia,military,1987,1,6,commander,1994,16,3022.0,16872.47
742,311,78,"Malenchenko, Yuri",male,1961,U.S.S.R/Russia,military,1987,2,6,Flight engineer,2000,STS­106,283.0,16872.47
743,311,78,"Malenchenko, Yuri",male,1961,U.S.S.R/Russia,military,1987,3,6,commander,2003,7,4438.0,16872.47
744,311,78,"Malenchenko, Yuri",male,1961,U.S.S.R/Russia,military,1987,4,6,commander,2007,16,4603.0,16872.47
745,311,78,"Malenchenko, Yuri",male,1961,U.S.S.R/Russia,military,1987,5,6,commander,2012,32,3047.0,16872.47
746,311,78,"Malenchenko, Yuri",male,1961,U.S.S.R/Russia,military,1987,6,6,commander,2015,46,1477.0,16872.47
747,312,79,"Musabayev, Talgat",male,1951,U.S.S.R/Russia,military,1990,1,3,flight engineer,1994,16,3002.0,8193.8
748,312,79,"Musabayev, Talgat",male,1951,U.S.S.R/Russia,military,1990,2,3,commander,1998,25,4980.0,8193.8
749,312,79,"Musabayev, Talgat",male,1951,U.S.S.R/Russia,military,1990,3,3,commander,2001,Soyuz TM­32/31,190.0,8193.8
750,313,198,"Halsell, James D., Jr.",male,1956,U.S.,military,1990,1,5,pilot,1994,STS-65,353.0,1257.0
751,313,198,"Halsell, James D., Jr.",male,1956,U.S.,military,1990,2,5,pilot,1995,STS-74,196.0,1257.0
752,313,198,"Halsell, James D., Jr.",male,1956,U.S.,military,1990,3,5,commander,1997,STS-83,95.0,1257.0
753,313,198,"Halsell, James D., Jr.",male,1956,U.S.,military,1990,4,5,commander,1997,STS-94,376.0,1257.0
754,313,198,"Halsell, James D., Jr.",male,1956,U.S.,military,1990,5,5,commander,2000,STS-101,237.0,1257.0
755,314,199,"Chiao, Leroy",male,1960,U.S.,civilian,1990,1,4,MSP,1994,STS-65,354.0,5503.0
756,314,199,"Chiao, Leroy",male,1960,U.S.,civilian,1990,2,4,MSP,1996,STS-72,214.0,5503.0
757,314,199,"Chiao, Leroy",male,1960,U.S.,civilian,1990,3,4,MSP,2000,STS-92,310.0,5503.0
758,314,199,"Chiao, Leroy",male,1960,U.S.,civilian,1990,4,4,commander,2004,10,4627.0,5503.0
759,315,200,"Thomas, Donald A.",male,1955,U.S.,civilian,1990,1,4,MSP,1994,STS-65,353.0,1038.0
760,315,200,"Thomas, Donald A.",male,1955,U.S.,civilian,1990,2,4,MSP,1995,STS-70,214.0,1038.0
761,315,200,"Thomas, Donald A.",male,1955,U.S.,civilian,1990,3,4,MSP,1997,STS-83,95.0,1038.0
762,315,200,"Thomas, Donald A.",male,1955,U.S.,civilian,1990,4,4,MSP,1997,STS-94,376.0,1038.0
763,316,3,"Mukai, Chiaki",female,1952,Japan,civilian,1985,1,2,PSP,1994,STS-65,354.0,568.0
764,316,3,"Mukai, Chiaki",female,1952,Japan,civilian,1985,2,2,PSP,1998,STS-95,214.0,568.0
765,317,210,"Linenger, Jerry M.",male,1955,U.S.,military,1992,1,2,MSP,1994,STS-64,262.0,3218.83
766,317,210,"Linenger, Jerry M.",male,1955,U.S.,military,1992,2,2,MSP,1997,22,3172.0,3218.83
767,318,202,"Wilcutt, Terrence W.",male,1949,U.S.,military,1990,1,4,pilot,1994,STS-68,269.0,1008.0
768,318,202,"Wilcutt, Terrence W.",male,1949,U.S.,military,1990,2,4,pilot,1996,STS-79,243.0,1008.0
769,318,202,"Wilcutt, Terrence W.",male,1949,U.S.,military,1990,3,4,commander,1998,STS-89,211.0,1008.0
770,318,202,"Wilcutt, Terrence W.",male,1949,U.S.,military,1990,4,4,commander,2000,STS-106,283.0,1008.0
771,319,203,"Smith, Steven L.",male,1958,U.S.,civilian,1992,1,4,MSP,1994,STS-68,264.0,960.0
772,319,203,"Smith, Steven L.",male,1958,U.S.,civilian,1992,2,4,MSP,1997,STS-82,240.0,960.0
773,319,203,"Smith, Steven L.",male,1958,U.S.,civilian,1992,3,4,MSP,1999,STS-103,192.0,960.0
774,319,203,"Smith, Steven L.",male,1958,U.S.,civilian,1992,4,4,MSP,2002,STS-110,264.0,960.0
775,320,80,"Kondakova, Yelena V.",female,1957,U.S.S.R/Russia,civilian,1989,1,2,flight engineer,1994,17,4061.0,4282.68
776,320,80,"Kondakova, Yelena V.",female,1957,U.S.S.R/Russia,civilian,1989,2,2,MSP,1997,23,221.0,4282.68
777,321,204,"Tanner, Joseph R.",male,1950,U.S.,civilian,1992,1,4,MSP,1994,STS-66,262.0,1045.25
778,321,204,"Tanner, Joseph R.",male,1950,U.S.,civilian,1992,2,4,MSP,1997,STS-82,239.0,1045.25
779,321,204,"Tanner, Joseph R.",male,1950,U.S.,civilian,1992,3,4,MSP,2000,STS-97,259.0,1045.25
780,321,204,"Tanner, Joseph R.",male,1950,U.S.,civilian,1992,4,4,MSP,2006,STS-115,283.0,1045.25
781,322,5,"Clervoy, Jean-François",male,1958,France,military,1985,1,3,MSP,1994,STS-66,263.0,675.1
782,322,5,"Clervoy, Jean-François",male,1958,France,military,1985,2,3,MSP,1997,STS-84,221.1,675.1
783,322,5,"Clervoy, Jean-François",male,1958,France,military,1985,3,3,MSP,1999,STS-103,191.0,675.1
784,323,205,"Parazynski, Scott E.",male,1961,U.S.,civilian,1992,1,5,MSP,1994,STS-66,262.0,1379.0
785,323,205,"Parazynski, Scott E.",male,1961,U.S.,civilian,1992,2,5,MSP,1997,STS-86,259.0,1379.0
786,323,205,"Parazynski, Scott E.",male,1961,U.S.,civilian,1992,3,5,MSP,1998,STS-95,213.0,1379.0
787,323,205,"Parazynski, Scott E.",male,1961,U.S.,civilian,1992,4,5,MSP,2001,STS-100,283.0,1379.0
788,323,205,"Parazynski, Scott E.",male,1961,U.S.,civilian,1992,5,5,MSP,2007,STS-120,362.0,1379.0
789,324,206,"Collins, Eileen M.",female,1956,U.S.,military,1990,1,4,pilot,1995,STS-63,198.5,872.0
790,324,206,"Collins, Eileen M.",female,1956,U.S.,military,1990,2,4,pilot,1997,STS-84,120.0,872.0
791,324,206,"Collins, Eileen M.",female,1956,U.S.,military,1990,3,4,commander,1999,STS-93,119.0,872.0
792,324,206,"Collins, Eileen M.",female,1956,U.S.,military,1990,4,4,commander,2005,STS-114,333.0,872.0
793,325,207,"Gregory, William G.",male,1957,U.S.,military,1990,1,1,pilot,1995,STS-67,399.0,399.0
794,326,208,"Grunsfeld, John M.",male,1958,U.S.,civilian,1992,1,5,MSP,1995,STS-67,399.0,1405.0
795,326,208,"Grunsfeld, John M.",male,1958,U.S.,civilian,1992,2,5,MSP,1997,STS-81,244.0,1405.0
796,326,208,"Grunsfeld, John M.",male,1958,U.S.,civilian,1992,3,5,MSP,1999,STS-103,191.0,1405.0
797,326,208,"Grunsfeld, John M.",male,1958,U.S.,civilian,1992,4,5,MSP,2002,STS-109,262.0,1405.0
798,326,208,"Grunsfeld, John M.",male,1958,U.S.,civilian,1992,5,5,MSP,2009,STS-125,309.0,1405.0
799,327,209,"Lawrence, Wendy B.",female,1959,U.S.,military,1992,1,4,MSP,1995,STS-67,399.0,1226.0
800,327,209,"Lawrence, Wendy B.",female,1959,U.S.,military,1992,2,4,MSP,1997,STS-86,259.0,1226.0
801,327,209,"Lawrence, Wendy B.",female,1959,U.S.,military,1992,3,4,MSP,1998,STS-91,235.0,1226.0
802,327,209,"Lawrence, Wendy B.",female,1959,U.S.,military,1992,4,4,MSP,2005,STS-114,333.0,1226.0
803,328,81,"Dezhurov, Vladimir N.",male,1962,U.S.S.R/Russia,military,1987,1,2,commander,1995,18,2768.0,5861.47
804,328,81,"Dezhurov, Vladimir N.",male,1962,U.S.S.R/Russia,military,1987,2,2,commander,2001,3,3092.0,5861.47
805,329,82,"Budarin, Nikolai",male,1953,U.S.S.R/Russia,civilian,1989,1,3,flight engineer,1995,19,1811.0,10657.42
806,329,82,"Budarin, Nikolai",male,1953,U.S.S.R/Russia,civilian,1989,2,3,flight engineer,1998,25,4980.0,10657.42
807,329,82,"Budarin, Nikolai",male,1953,U.S.S.R/Russia,civilian,1989,3,3,flight engineer,2002,6,3865.0,10657.42
808,330,210,Kregel Kevin R.,male,1956,U.S.,civilian,1992,1,4,pilot,1995,STS-70,214.0,1266.35
809,330,210,Kregel Kevin R.,male,1956,U.S.,civilian,1992,2,4,pilot,1996,STS-78,405.0,1266.35
810,330,210,Kregel Kevin R.,male,1956,U.S.,civilian,1992,3,4,commander,1997,STS-87,376.0,1266.35
811,330,210,Kregel Kevin R.,male,1956,U.S.,civilian,1992,4,4,commander,2000,STS-99,269.0,1266.35
812,331,211,"Weber, Mary E.",female,1962,U.S.,civilian,1992,1,2,MSP,1995,STS-70,236.0,450.5
813,331,211,"Weber, Mary E.",female,1962,U.S.,civilian,1992,2,2,MSP,2000,STS-101,214.0,450.5
814,332,83,"Gidzenko, Yuri",male,1962,U.S.S.R/Russia,military,1987,1,3,commander,1995,20,4297.0,7918.73
815,332,83,"Gidzenko, Yuri",male,1962,U.S.S.R/Russia,military,1987,2,3,commander,2000,1,3383.0,7918.73
816,332,83,"Gidzenko, Yuri",male,1962,U.S.S.R/Russia,military,1987,3,3,commander,2002,Soyuz  3,237.0,7918.73
817,333,7,"Reiter, Thomas",male,1958,Germany,military,1992,1,2,flight engineer,1995,20,4297.6,8405.58
818,333,7,"Reiter, Thomas",male,1958,Germany,military,1992,2,2,flight engineer,2006,13,4108.0,8405.58
819,334,212,"Gernhardt, Michael L.",male,1956,U.S.,civilian,1992,1,4,MSP,1995,STS-69,260.5,1039.05
820,334,212,"Gernhardt, Michael L.",male,1956,U.S.,civilian,1992,2,4,MSP,1997,STS-83,95.2,1039.05
821,334,212,"Gernhardt, Michael L.",male,1956,U.S.,civilian,1992,3,4,MSP,1997,STS-94,376.75,1039.05
822,334,212,"Gernhardt, Michael L.",male,1956,U.S.,civilian,1992,4,4,MSP,2001,STS-104,306.6,1039.05
823,335,213,"Rominger, Kent V.",male,1956,U.S.,military,1992,1,5,pilot,1995,STS-73,381.0,1608.0
824,335,213,"Rominger, Kent V.",male,1956,U.S.,military,1992,2,5,pilot,1996,STS-80,423.0,1608.0
825,335,213,"Rominger, Kent V.",male,1956,U.S.,military,1992,3,5,pilot,1997,STS-85,55.0,1608.0
826,335,213,"Rominger, Kent V.",male,1956,U.S.,military,1992,4,5,commander,1999,STS-96,235.0,1608.0
827,335,213,"Rominger, Kent V.",male,1956,U.S.,military,1992,5,5,commander,2001,STS-100,285.0,1608.0
828,336,214,"Coleman, Catherine G.",female,1960,U.S.,military,1992,1,3,MSP,1995,STS-73,382.0,500.0
829,336,214,"Coleman, Catherine G.",female,1960,U.S.,military,1992,2,3,MSP,1999,STS-93,119.0,500.0
830,336,214,"Coleman, Catherine G.",female,1960,U.S.,military,1992,3,3,flight engineer,2011,26,3823.0,500.0
831,337,215,"Lopez-Alegria, Michael E.",male,1958,U.S.,military,1992,1,4,MSP,1995,STS-73,381.0,6190.67
832,337,215,"Lopez-Alegria, Michael E.",male,1958,U.S.,military,1992,2,4,MSP,2000,STS-92,309.0,6190.67
833,337,215,"Lopez-Alegria, Michael E.",male,1958,U.S.,military,1992,3,4,MSP,2002,STS-113,330.0,6190.67
834,337,215,"Lopez-Alegria, Michael E.",male,1958,U.S.,military,1992,4,4,flight engineer,2007,14,5168.0,6190.67
835,338,216,"Leslie, Fred Weldon",male,1951,U.S.,civilian,1994,1,1,PSP,1995,STS-73,382.02,382.02
836,339,217,"Sacco, Albert Jr.",male,1949,U.S.,civilian,1994,1,1,PSP,1995,STS-73,382.02,382.02
837,340,4,Chris Hadfield,male,1959,Canada,military,1992,1,3,pilot,1995,STS-74,196.5,4191.82
838,340,4,Chris Hadfield,male,1959,Canada,military,1992,2,3,pilot,2001,STS-100,285.5,4191.82
839,340,4,Chris Hadfield,male,1959,Canada,military,1992,3,3,pilot,2012,34,3710.32,4191.82
840,341,218,"Jett, Brent W.",male,1958,U.S.,military,1992,1,4,pilot,1996,STS-72,214.0,1002.02
841,341,218,"Jett, Brent W.",male,1958,U.S.,military,1992,2,4,pilot,1997,STS-81,244.0,1002.02
842,341,218,"Jett, Brent W.",male,1958,U.S.,military,1992,3,4,commander,2000,STS-97,259.0,1002.02
843,341,218,"Jett, Brent W.",male,1958,U.S.,military,1992,4,4,commander,2006,STS-115,283.0,1002.02
844,342,219,"Scott, Winston E.",male,1950,U.S.,military,1992,1,2,MSP,1996,STS-72,214.0,590.0
845,342,219,"Scott, Winston E.",male,1950,U.S.,military,1992,2,2,MSP,1997,STS-87,376.0,590.0
846,343,4,"Wakata, Koichi",male,1963,Japan,civilian,1992,1,4,MSP,1996,STS-72,214.0,8336.5
847,343,4,"Wakata, Koichi",male,1963,Japan,civilian,1992,2,4,MSP,2000,STS-92,309.75,8336.5
848,343,4,"Wakata, Koichi",male,1963,Japan,civilian,1992,3,4,flight engineer,2009,18,3303.0,8336.5
849,343,4,"Wakata, Koichi",male,1963,Japan,civilian,1992,4,4,commander,2013,38,4509.75,8336.5
850,344,220,"Barry, Daniel T.",male,1953,U.S.,civilian,1992,1,3,MSP,1996,STS-72,214.0,734.0
851,344,220,"Barry, Daniel T.",male,1953,U.S.,civilian,1992,2,3,MSP,1999,STS-96,235.0,734.0
852,344,220,"Barry, Daniel T.",male,1953,U.S.,civilian,1992,3,3,MSP,2001,STS-105,285.0,734.0
853,345,84,"Onufrienko, Yuri",male,1961,U.S.S.R/Russia,military,1989,1,2,commander,1996,21,4651.0,9350.77
854,345,84,"Onufrienko, Yuri",male,1961,U.S.S.R/Russia,military,1989,2,2,commander,2001,4,4699.0,9350.77
855,346,221,"Horowitz, Scott J.",male,1957,U.S.,military,1992,1,4,pilot,1996,STS-75,378.0,1138.68
856,346,221,"Horowitz, Scott J.",male,1957,U.S.,military,1992,2,4,pilot,1997,STS-82,277.0,1138.68
857,346,221,"Horowitz, Scott J.",male,1957,U.S.,military,1992,3,4,pilot,2000,STS-101,237.0,1138.68
858,346,221,"Horowitz, Scott J.",male,1957,U.S.,military,1992,4,4,commander,2001,STS-105,285.0,1138.68
859,347,2,"Cheli, Maurizio",male,1959,Italy,military,1992,1,1,MSP,1996,STS-75,377.68,377.68
860,348,3,"Guidoni, Umberto",male,1954,Italy,civilian,1996,1,2,MSP,1996,STS-75,377.67,663.17
861,348,3,"Guidoni, Umberto",male,1954,Italy,civilian,1996,2,2,MSP,2001,STS-100,285.5,663.17
862,349,222,"Thomas, Andrew S. W.",male,1951,Australia,civilian,1992,1,4,MSP,1983,STS-77,240.0,4264.0
863,349,222,"Thomas, Andrew S. W.",male,1951,Australia,civilian,1992,2,4,MSP,1998,24,3384.0,4264.0
864,349,222,"Thomas, Andrew S. W.",male,1951,Australia,civilian,1992,3,4,MSP,2001,STS-102,307.0,4264.0
865,349,222,"Thomas, Andrew S. W.",male,1951,Australia,civilian,1992,4,4,MSP,2005,STS-114,333.0,4264.0
866,350,223,"Linnehan, Richard M.",male,1957,U.S.,civilian,1992,1,4,MSP,1996,STS-78,405.0,1427.0
867,350,223,"Linnehan, Richard M.",male,1957,U.S.,civilian,1992,2,4,MSP,1998,STS-90,382.0,1427.0
868,350,223,"Linnehan, Richard M.",male,1957,U.S.,civilian,1992,3,4,MSP,2002,STS-109,262.0,1427.0
869,350,223,"Linnehan, Richard M.",male,1957,U.S.,civilian,1992,4,4,MSP,2008,STS-123,378.0,1427.0
870,351,224,"Brady, Charles E., Jr.",male,1951,U.S.,military,1992,1,1,MSP,1996,STS-78,405.0,405.0
871,352,6,"Favier, Jean-Jacques",male,1949,France,civilian,1985,1,1,PSP,1996,STS-78,405.8,405.8
872,353,5,Robert Thirsk,male,1953,Canada,civilian,1983,1,2,MSP,1996,STS-78,405.8,4917.8
873,353,5,Robert Thirsk,male,1953,Canada,civilian,1983,2,2,flight engineer,2009,20,4512.0,4917.8
874,354,85,"Korzun, Valery",male,1953,U.S.S.R/Russia,military,1987,1,2,commander,1996,22,4721.0,9159.68
875,354,85,"Korzun, Valery",male,1953,U.S.S.R/Russia,military,1987,2,2,commander,2002,5,4438.0,9159.68
876,355,7,"André-Deshays, Claudie (Haigneré)",female,1957,France,civilian,1985,1,2,MSP,1996,Soyuz TM-24/23,378.4,614.37
877,355,7,"André-Deshays, Claudie (Haigneré)",female,1957,France,civilian,1985,2,2,flight engineer,2001,Soyuz TM-33/32,236.0,614.37
878,356,86,"Lazutkin, Aleksandr",male,1957,U.S.S.R/Russia,civilian,1992,1,1,flight engineer,1997,23,4438.0,4438.12
879,357,8,"Ewald, Reinhold",male,1956,Germany,civilian,1990,1,1,MSP,1997,Soyuz TM-25/24,472.57,472.57
880,358,225,"Kilrain-Still, Susan L.",female,1961,U.S.,military,1995,1,2,pilot,1997,STS-83,95.0,471.0
881,358,225,"Kilrain-Still, Susan L.",female,1961,U.S.,military,1995,2,2,pilot,1997,STS-94,376.0,471.0
882,359,226,"Crouch, Roger Keith",male,1940,U.S.,civilian,1995,1,2,PSP,1997,STS-83,95.54,4576.07
883,359,226,"Crouch, Roger Keith",male,1940,U.S.,civilian,1995,2,2,PSP,1997,STS-94,377.01,4576.07
884,360,227,"Linteris, Gregory Thomas",male,1957,U.S.,civilian,1995,1,2,PSP,1997,STS-83,95.54,4576.07
885,360,227,"Linteris, Gregory Thomas",male,1957,U.S.,civilian,1995,2,2,PSP,1997,STS-94,377.01,4576.07
886,361,228,"Noriega, Carlos I.",male,1959,U.S.,military,1995,1,2,MSP,1997,STS-84,221.0,481.0
887,361,228,"Noriega, Carlos I.",male,1959,U.S.,military,1995,2,2,MSP,2000,STS-97,260.0,481.0
888,362,229,"Lu, Edward T.",male,1963,U.S.,civilian,1995,1,3,MSP,1997,STS-84,221.0,4943.3
889,362,229,"Lu, Edward T.",male,1963,U.S.,civilian,1995,2,3,MSP,2000,STS-106,283.0,4943.3
890,362,229,"Lu, Edward T.",male,1963,U.S.,civilian,1995,3,3,flight engineer,2003,7,4439.0,4943.3
891,363,87,"Vinogradov, Pavel",male,1953,U.S.S.R/Russia,civilian,1992,1,3,flight engineer,1997,24,4745.0,13126.53
892,363,87,"Vinogradov, Pavel",male,1953,U.S.S.R/Russia,civilian,1992,2,3,commander,2006,13,4390.0,13126.53
893,363,87,"Vinogradov, Pavel",male,1953,U.S.S.R/Russia,civilian,1992,3,3,commander,2013,35,3990.0,13126.53
894,364,230,"Curbeam, Robert L., Jr.",male,1962,U.S.,military,1994,1,3,MSP,1997,STS-85,284.0,902.0
895,364,230,"Curbeam, Robert L., Jr.",male,1962,U.S.,military,1994,2,3,MSP,2001,STS-98,309.0,902.0
896,364,230,"Curbeam, Robert L., Jr.",male,1962,U.S.,military,1994,3,3,MSP,2006,STS-116,309.0,902.0
897,365,231,"Robinson, Stephen K.",male,1955,U.S.,civilian,1994,1,4,MSP,1997,STS-85,284.0,1156.0
898,365,231,"Robinson, Stephen K.",male,1955,U.S.,civilian,1994,2,4,MSP,1998,STS-95,213.0,1156.0
899,365,231,"Robinson, Stephen K.",male,1955,U.S.,civilian,1994,3,4,MSP,2005,STS-114,333.0,1156.0
900,365,231,"Robinson, Stephen K.",male,1955,U.S.,civilian,1994,4,4,MSP,2010,STS-130,330.0,1156.0
901,366,6,Bjarni Tryggvason,male,1945,Canada,civilian,1983,1,1,PSP,1997,STS-85,284.0,284.0
902,367,232,"Bloomfield, Michael J.",male,1959,U.S.,military,1994,1,3,pilot,1997,STS-86,259.0,779.0
903,367,232,"Bloomfield, Michael J.",male,1959,U.S.,military,1994,2,3,pilot,2000,STS-97,260.0,779.0
904,367,232,"Bloomfield, Michael J.",male,1959,U.S.,military,1994,3,3,commander,2002,STS-110,260.0,779.0
905,368,233,"Lindsey, Steven W.",male,1960,U.S.,military,1995,1,5,pilot,1997,STS-87,376.0,1508.0
906,368,233,"Lindsey, Steven W.",male,1960,U.S.,military,1995,2,5,pilot,1998,STS-95,213.0,1508.0
907,368,233,"Lindsey, Steven W.",male,1960,U.S.,military,1995,3,5,commander,2002,STS-104,306.0,1508.0
908,368,233,"Lindsey, Steven W.",male,1960,U.S.,military,1995,4,5,commander,2006,STS-121,306.0,1508.0
